City,Country,McMeal at McDonalds (or Equivalent Combo Meal),Domestic Beer (0.5 liter draught),Water (1.5 liter bottle),Cappuccino (regular),Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Average Monthly Net Salary (After Tax),Cost of Living Index,Purchasing Power Index,Safety Index,Health Care Index,Pollution Index,AvgTemperature,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Lat,Long,Population,Overall Score,Employment,Startup,Tourism,Housing,Transport,Health,Food,Internet Speed,Apple Store,Access to Contraception,Gender Equality,Immigration Tolerance,LGBT Friendly,Nightscene,Beer,Festival
Casablanca,Morocco,5.16,2.58,0.54,1.51,386.18,180.27,35.74,31.63,24.49,405.7,0.27,0.2,0.45,0.44,0.83,,8.940313339,0.592628479,65.89624023,0.772072434,-0.240377247,0.815724611,33.5992,-7.62,4370000.0,,,,,,,,,,,,,,,,,
Łódź,Poland,4.25,1.77,0.44,1.73,362.66,280.88,172.01,12.53,26.35,689.44,0.28,0.3,0.58,0.54,0.6,,10.26512432,0.874257445,69.31113434,0.862055779,-0.205084071,0.686927021,51.7769,19.4547,690422.0,,,,,,,,,,,,,,,,,
Montréal,Canada,6.87,4.81,1.42,2.83,871.26,551.99,66.62,42.59,23.04,2182.51,0.46,0.57,0.71,0.65,0.33,,10.69236851,0.927176654,73.60160065,0.933913231,0.124770768,0.390843362,45.5089,-73.5617,3519595.0,98.5,3.4,7.7,4.4,6.9,5.7,4.3,3.0,4.3,5.6,8.0,5.4,9.3,8.7,9.5,4.3,8.1
São Paulo,Brazil,5.92,1.97,0.61,1.46,448.08,294.58,54.21,24.2,25.41,470.25,0.24,0.22,0.3,0.58,0.8,1.0,9.56643486,0.896723807,66.48016357,0.799804807,-0.101812392,0.770601273,-23.5504,-46.6339,22046000.0,71.8,2.4,2.2,4.8,8.0,2.1,0.6,7.8,3.2,4.4,7.4,1.6,2.8,7.0,7.6,8.5,1.4
Gothenburg,Sweden,7.6,6.31,1.3,3.58,952.59,715.92,51.69,30.42,32.03,2183.46,0.54,0.56,0.54,0.69,0.21,,10.75879383,0.926311195,72.60076904,0.939144194,0.111614622,0.250880182,57.6717,11.981,600473.0,73.0,3.8,3.4,4.0,3.6,6.2,4.8,2.5,6.3,4.3,1.3,9.6,8.8,4.1,4.0,0.7,5.7
Dublin,Ireland,8.0,5.8,1.41,3.2,1692.24,1405.38,169.12,54.01,40.22,2531.16,0.57,0.45,0.5,0.52,0.4,1.0,11.16097832,0.942081571,72.30078888,0.886982977,0.145784974,0.357184172,53.3425,-6.2658,1173179.0,90.2,4.4,8.7,7.8,2.6,4.3,6.0,6.2,9.0,4.3,2.0,9.5,10.0,4.9,1.0,3.0,6.5
Moscow,Russia,4.4,2.93,0.62,2.43,888.23,518.48,126.36,6.79,41.55,970.29,0.28,0.31,0.61,0.63,0.57,1.0,10.12887192,0.903150737,64.10045624,0.729892612,-0.151153743,0.864802599,55.7558,37.6178,17125000.0,,,,,,,,,,,,,,,,,
Santo Domingo,Dominican Republic,5.1,1.7,1.17,1.51,381.17,203.64,53.67,50.03,22.49,335.33,,,,,,1.0,9.664880753,0.882085383,65.80748749,0.866202772,-0.131263286,0.755999923,18.4764,-69.8933,2581827.0,,,,,,,,,,,,,,,,,
Adelaide,Australia,6.84,4.97,1.46,2.63,817.81,601.79,119.44,41.95,34.05,2653.26,0.54,0.67,0.71,0.81,0.18,,10.72059631,0.944854617,73.60453796,0.915431738,0.19046016,0.41516912,-34.9289,138.6011,1345777.0,,,,,,,,,,,,,,,,,
Zürich,Switzerland,12.94,6.24,1.13,4.66,1701.77,1263.69,162.87,48.71,76.33,5714.8,0.9,0.79,0.84,0.76,0.17,1.0,10.97993279,0.942846596,74.10244751,0.921336651,0.105911039,0.303728431,47.3786,8.54,434008.0,99.7,8.3,8.3,4.3,0.9,6.9,5.8,0.1,8.2,8.8,7.0,9.2,7.0,5.6,9.0,0.6,9.8
Yerevan,Armenia,4.6,1.13,0.44,1.95,320.04,170.55,60.06,14.09,43.14,295.66,0.21,0.18,0.76,0.53,0.57,1.0,9.100476265,0.757479429,66.75065613,0.712017834,-0.13877961,0.773544788,40.1814,44.5144,1075800.0,,,,,,,,,,,,,,,,,
Manila,Philippines,2.67,1.25,0.69,2.29,552.51,192.18,120.87,45.47,43.97,358.2,0.29,0.12,0.36,0.63,0.9,1.0,8.993545532,0.846730053,61.92676163,0.915463448,-0.105463006,0.733634114,14.5958,120.9772,23088000.0,,,,,,,,,,,,,,,,,
Brisbane,Australia,7.43,4.95,1.34,2.8,1041.75,757.35,108.52,47.06,40.03,3030.03,0.56,0.65,0.65,0.82,0.22,1.0,10.72059631,0.944854617,73.60453796,0.915431738,0.19046016,0.41516912,-27.4678,153.0281,2514184.0,64.9,6.5,4.9,3.3,3.0,1.9,3.8,5.0,2.0,5.4,3.6,3.6,9.0,6.5,2.0,3.1,1.3
Jakarta,Indonesia,3.28,2.62,0.49,2.32,401.19,224.82,96.12,26.47,38.09,414.33,0.29,0.16,0.46,0.57,0.84,1.0,9.36975193,0.808379889,62.15584946,0.870614409,0.519586504,0.876296401,-6.2146,106.8451,34540000.0,,,,,,,,,,,,,,,,,
Ankara,Turkey,3.51,2.75,0.26,1.7,198.86,125.32,54.61,14.11,20.81,440.17,0.21,0.26,0.6,0.69,0.66,1.0,10.12941933,0.826313555,66.90281677,0.608830452,-0.171046436,0.748197377,39.93,32.85,5503985.0,,,,,,,,,,,,,,,,,
Lviv,Ukraine,3.56,1.5,0.46,1.15,364.65,249.9,88.45,4.44,17.16,341.38,0.19,0.2,0.59,0.59,0.53,,9.010690689,0.878879368,64.60678101,0.663081884,-0.030933706,0.920636714,49.8419,24.0315,724314.0,,,,,,,,,,,,,,,,,
Novosibirsk,Russia,3.67,1.1,0.5,1.88,344.85,225.13,94.51,7.96,27.49,436.28,0.21,0.23,0.53,0.55,0.69,,10.12887192,0.903150737,64.10045624,0.729892612,-0.151153743,0.864802599,55.0333,82.9167,1602915.0,,,,,,,,,,,,,,,,,
Bursa,Turkey,3.06,2.37,0.29,1.59,177.53,121.74,67.46,12.93,23.4,443.85,0.21,0.22,0.72,0.79,0.44,,10.12941933,0.826313555,66.90281677,0.608830452,-0.171046436,0.748197377,40.1833,29.0667,2901396.0,,,,,,,,,,,,,,,,,
Brussels,Belgium,8.2,4.0,0.94,3.17,838.2,686.19,122.98,43.43,26.11,2289.69,0.53,0.58,0.49,0.75,0.62,1.0,10.6736393,0.911632538,72.00164795,0.813582063,-0.078691199,0.612297952,50.8467,4.3517,185103.0,86.5,1.3,5.4,5.6,5.1,8.9,5.5,3.8,4.4,6.3,7.2,6.5,6.6,2.6,7.6,4.8,4.9
Jerusalem,Israel,12.97,7.26,1.5,2.8,919.4,740.05,166.88,24.16,71.27,1911.12,,,,,,,10.41752529,0.913571239,73.20025635,0.747580588,0.10259372,0.78085506,31.7833,35.2167,919438.0,,,,,,,,,,,,,,,,,
Melbourne,Australia,7.12,5.57,1.28,2.63,1134.86,859.46,127.87,43.28,46.28,2791.96,0.55,0.68,0.56,0.75,0.26,1.0,10.72059631,0.944854617,73.60453796,0.915431738,0.19046016,0.41516912,-37.8136,144.9631,5078193.0,74.8,6.1,5.7,5.1,2.1,4.1,3.8,3.4,4.7,4.3,3.6,3.6,9.0,6.6,8.3,1.2,3.3
Perth,Australia,7.32,5.9,1.68,2.86,897.5,639.56,129.02,43.78,39.32,2493.77,0.56,0.66,0.58,0.78,0.23,1.0,10.72059631,0.944854617,73.60453796,0.915431738,0.19046016,0.41516912,-31.9522,115.8589,2059484.0,62.5,8.0,3.0,2.2,3.3,0.7,3.8,2.8,3.9,6.5,3.6,3.6,9.0,7.2,0.6,0.4,3.9
Sydney,Australia,7.15,4.97,1.29,2.48,1568.39,1140.67,110.7,43.51,47.37,3018.36,0.59,0.64,0.66,0.78,0.27,1.0,10.72059631,0.944854617,73.60453796,0.915431738,0.19046016,0.41516912,-33.865,151.2094,5312163.0,67.2,6.8,6.7,7.1,0.8,1.3,3.8,3.5,1.6,5.0,3.6,3.6,9.0,8.5,1.0,1.8,3.1
Alexandria,Egypt,3.38,1.69,0.26,1.45,142.04,84.65,18.56,16.57,19.58,163.94,,,,,,,9.316541672,0.735447824,61.78015137,0.708354175,-0.196878314,0.787726879,31.2,29.9167,4870000.0,,,,,,,,,,,,,,,,,
Quito,Ecuador,5.39,1.35,0.93,1.81,369.07,221.89,39.64,36.77,40.91,527.18,0.29,0.19,0.41,0.68,0.66,,9.246058464,0.836418986,68.50003815,0.859828949,-0.127014965,0.801215112,-0.2186,-78.5097,2011388.0,,,,,,,,,,,,,,,,,
Canberra,Australia,,,,,,,,,,,0.56,0.63,0.78,0.81,0.14,1.0,10.72059631,0.944854617,73.60453796,0.915431738,0.19046016,0.41516912,-35.2931,149.1269,426704.0,65.7,8.9,0.4,1.9,2.2,0.6,3.8,4.7,3.3,8.9,3.6,3.6,9.0,4.7,1.0,4.1,5.0
Wellington,New Zealand,,,,,,,,,,,0.52,0.64,0.72,0.75,0.14,,10.50094318,0.949118972,73.20262909,0.936217487,0.191598073,0.22113885,-41.2889,174.7772,418500.0,,,,,,,,,,,,,,,,,
Raleigh,United States,,,,,,,,,,,0.47,0.83,0.66,0.76,0.23,1.0,10.92576885,0.914219022,68.29949951,0.842619538,0.149891734,0.699715316,35.8325,-78.6435,1038738.0,,,,,,,,,,,,,,,,,
The Hague,Netherlands,,,,,,,,,,,0.48,0.62,0.75,0.78,0.2,,10.81271172,0.93913883,72.30091858,0.908547819,0.20761244,0.364717126,52.08,4.27,1406000.0,98.7,3.1,4.3,2.1,4.2,8.1,7.0,5.3,6.9,8.3,5.6,8.0,8.0,9.7,4.0,5.0,9.1
Madison,United States,,,,,,,,,,,0.46,0.75,0.67,0.79,0.2,1.0,10.92576885,0.914219022,68.29949951,0.842619538,0.149891734,0.699715316,43.0826,-89.3931,447245.0,,,,,,,,,,,,,,,,,
Columbus,United States,,,,,,,,,,,0.49,0.81,0.57,0.74,0.25,1.0,10.92576885,0.914219022,68.29949951,0.842619538,0.149891734,0.699715316,39.9862,-82.985,1562009.0,,,,,,,,,,,,,,,,,
Charlotte,United States,,,,,,,,,,,0.48,0.8,0.56,0.74,0.28,1.0,10.92576885,0.914219022,68.29949951,0.842619538,0.149891734,0.699715316,35.208,-80.8304,1512923.0,,,,,,,,,,,,,,,,,
Geneva,Switzerland,,,,,,,,,,,0.88,0.73,0.73,0.73,0.26,1.0,10.97993279,0.942846596,74.10244751,0.921336651,0.105911039,0.303728431,46.2,6.15,201818.0,85.4,2.6,8.0,1.1,0.6,5.4,5.8,0.2,9.8,10.0,7.0,9.2,7.0,4.8,4.0,0.5,9.5
Genoa,Italy,,,,,,,,,,,0.53,0.35,0.57,0.71,0.54,,10.48183632,0.889878571,73.60168457,0.66465199,-0.043460999,0.873404682,44.4072,8.934,580097.0,,,,,,,,,,,,,,,,,
Richmond,United States,,,,,,,,,,,0.46,0.71,0.55,0.74,0.32,1.0,10.92576885,0.914219022,68.29949951,0.842619538,0.149891734,0.699715316,37.5295,-77.4756,1075798.0,,,,,,,,,,,,,,,,,
